사용자,평점,댓글 내용,감정
이지성,3,영화가 뭐이리 무식하냐.. 그나마 무지성으로 달려가는 속도감은 묘한 쾌감이 있음.,긍정
한소리나라,3,"딱 생각한만큼의 영화. 그래도 소소한 유머가 있고, 다행히 생각보다 잔인하진 않아서 좋았다.",긍정
D 바살,2.5,황정민이 황정민을 연기한 것이 돋보였지만 점점 현실감보단 영화스러움이 가득,중립
최희영,3.5,김재범 배우 눈빛,긍정
하늘바다인생,1,"느닷없는 여경 설정에 긴장감 전혀없는 스토리..도데체 왜 만든건지 모르겠는 영화..
그냥 황정민 다큐를 만들지..",부정
마늘빵,4,좀 뻔한 시나리오일 수 있는데 그래도 재밌다. 황정민의 황정민 연기.,긍정
RagingBull,2.5,"각 캐릭터들에게 서사를 부여하지 않은 것이 단점이랄까?
납치 감금 폭행 금품요구 결투 끝.",중립
Axllow,3,처음은 정말 좋았다. 특히 김재범으로 나온 범죄자 포스는 보는이들까지 압박을했고 황정민은 영화속에서 또 다른 황정민을 연기해 신선함을 주었다. 긴장감은 정확히 김재범이 아지트를 떠나는순간 사라졌다. 한복판으로 나온 김재범은 뭘하던 CCTV에 찍히고 아무리 날고긴다한들 한국은 범죄 대놓고 저지르기에 쉬운나라는 아니다. 시청하는사람들은 알게모르게 안정감이 생기니깐 영화속 긴장감은 사라졌다. 황정민은 전공을 살려 연기로 범죄자들을 속이지만 뻔한 루트였고 맛을 잘 살리진 못한거같다. 범죄자집단은 체계가 잘 잡혀있는듯했지만 한순간에 오합지졸로 지들끼리 싸우기 바쁘고 가장 많은걸 보여줄수 있었던 김재원이 외부로 빠지는순간 나머지 부하들은 전혀 운영하지못하는 부분도 아쉽다. 영화 재미와는 별개로 연예인삶도 만만치않을거 같긴하다. 톱스타들은 편의점한번 가기도 쉽지않아보이고 항상 좋은모습만 보여줘야되는 직업이다보니 돈 많이버는 직업이란게 어느순간 수긍되기도한다.,긍정
롯데폐인,3,끝이 보일때쯤 다시 시작. 엔딩크레딧 올라갈때까지 짜릿한 긴장을 선사한다..,긍정
마인,3,"빠른 속도감! 넷플릭스 영화를 보는 듯!
그러나 영화는 영화다!",긍정
이남엽,3,계산된 결말로 인해 용두사미가 되어버린 인질과 납치범의 연기 티키타카,긍정
ench,1,"<무한도전>에서 호피 무늬 래핑한 출연자의 차를 완파하는 모습을 대여섯 차례나 반복해 보여줌과 동시에 출연자의 당황한 리액션ㅡ야, 저거 니 차 아니냐? 내지는 이거 (제작진과) 얘기 된거야?ㅡ을 교차 편집하던 순간. <가짜 사나이>에서 퇴소를 알리는 종을 앞에 두고 진짜로서의 자아 정체성을 망설임 없이 버리고 유사 특수부대원이라는 가짜로서의 자아 정체성을 선택하던 그 순간. 진짜와 가짜가 거리낌 없이 뒤섞이고, 현실에서 이항 대립하던 두 관계에서 한쪽이 완벽히(또는 추잡하게) 승리를 거머쥐는 순간. <인질>의 시놉시스를 읽을 때, 그 어색하지만 꿈같은 순간을 기대하기 마련이다.

90여분의 짧은 러닝타임에서 <인질>은 그 이름대로 정직하게 인질에 밀착하여 실존 인물 황정민의 반응을 담아내고, 그런 연출은 대충 쓰인 대사를 통해 적당히 진짜같은 분위기로 적당히 가짜같은 설정을 가로지른다. 인질과 납치범의 신경질적인 대치는 그냥 인질범이 황정민을 납치, 감금, 고문한 상태이니까 할수밖에 없는 소모적인 말싸움으로 채워져 있고, 무언가 수사 활동처럼 보이는 일 처리를 해 보일 것처럼 보였던 캐릭터들은 제대로 연기도 못해보고 폭탄 소동에 휘말리는 멍청한 공권력으로 (그렇다, 또 바보 경찰과 영웅적 주인공의 대비다) 전락할 뿐이다. 그러나 궁극적으로, 영화 안에서도, 황정민은 바람피워선 안 되고, 사람 대가리를 샷건으로 날려서도 안 되며, 황 배우의 신체 어디 한 부위가 절단당하는 참극이 일어나서도 안 된다. 이러한 보수성 앞에서 황정민은 두 번 요청받는다. 사진 찍어주실래요? 이때 우리는 기본 전제를 지켰는가 되물을 수밖에 없다. 너는 진짜와 가짜 사이의 무엇인가? 영화가 그 둘 사이의 겨루기 한 판이라면 그 두 요청 사이에 우리는 진짜와 가짜 둘 모두와 한 번은 만났어야 하지 않는가. 눈앞에 황정민이 나타났을 때 나는 그를 납치하고 싶다는 생각이 들지 않았고, 그의 손에 커터칼이 쥐어졌을 때는 그의 탈출이 실패하기를 내심 바라고 있었다. 그건 뭐랄까, 이 실패작이 어떠해야만 성공할 수 있었을까 고민했다기보다는 이죽거리며 팔짱 끼고 쳐다보는 악플러로서의 마음에 더 가깝다. 그러나 어쩔 수 없었다. 이야기 바깥에서 정체성 싸움을 인질로 잡은 협잡꾼의 얼굴이 아른거렸으니까.",부정
김현무,2.5,각본은 형편없지만 연출이 좋아 몰입도가 있다. 다음 작품은 각본은 작가에게 맡기고 감독만 하기를.,중립
정성국,4.5,드루와!!! ㅆ!,긍정
허기자,1.5,황정민이 반드시 해결해야 된다고 매니지먼트에서 압박했냐?,부정
최실장,2,신선한데 깨운하진 않다.,부정
HP,2,황정민 연기 말고 그 아무것도 없다. 개인적으로 하나만 잘하면 된다는 주의긴한데 이렇게까지 지나치게 한개만 들이밀면 좀 곤란하다.,부정
임랑일,3,씰데없는 것들을 거세하고 밀고 나가는 힘이 좋았다,긍정
Wanee,2.5,"현실에 기인한 설정 하나로 가는 영화가 개연성을 잃어버린다는 것, 최기완을 처음 놓쳤을 때 이 영화는 끝났다.",중립
Ko paint,2.5,답답함 ㅠㅜ 내내 건빵먹는듯함,중립
김영도,2.5,"하나의 목표를 잡아두고 그것만을 향해 전형적이지만 뚝심있고, 재미있게 나아간다. 그럼 된거다.",중립
성아,3,허수가 허구를 허점으로,긍정
믜야호,3,"현실감있는 마지막을 향한 빌드업, 근데 이제 잔인함을 곁들인...",긍정
정재웅,0.5,이딴 영화 만들어놓고 한국 영화 봐 달라고 그러지 좀 마..,부정
여양님,4,솔직히 진짜 유치하고 뻔하게 생각하고 황정민 연기나 보려던건데 조연들 연기 뭐야?ㅋㅋㅋㅋ 너무 무섭다고..  우두머리역 누구지 첨에 여잔줄. 중성적인데 광기연기 소름. 찐따빠박이씨컵언니까지 연기 다 잘함. 액션씬도 합맞춘 오글말고 개싸움에 사제총까지..추격자느낌도나고 제법 리얼함..우두머리아저씨 확뜰듯ㄷㄷ,긍정
ㅅㅁ,2.5,"나쁘지는 않았지만 그렇다고 좋았다고도 할 수 없는, 시도는 신박했지만 굳이 이렇게까지?, 그래도 김재범 배우를 스크린에서 만나다니, 더더욱 황정민과 맞붙다니, 그 자체로 짝짝",중립
가람동,1,"오랜만에 보는 내내 실소가 나와서 어찌할 바 몰랐다. 리얼리티를 추구해야하는 장르에서 왜 계속 '""영화니까""라는 방패막이를 사용하는 것인지.

극장을 나오면서 뭔가 되게 정신없는 공허함을 느끼고 온 것 같다.

의도적으로 여자 배역을 챙겨주려고 한 것 같은데 차라리 안 나오니만 못한 대접을 하면서 극에 이용되는 게 가장 충격적인 포인트.

과연 극에서 제 역할을 하는 쓸모있는 캐릭터는 몇이나 있었을까.",부정
purplemade,3,배우 황정민이 지닌 현실감과 생동감,긍정
김광수,2,"실제 황정민같지 않다. '씨빠, 부라더'만 외친다고 실제 황정민같을 거라 믿는다면 오산.

현실과 가상을 넘나들며 좀 더 흥미로운 작품을 만들 수 있었을 텐데...아쉽다.",부정
김창석,3,독특한 설정과 속도감으로 각본의 구멍을 어찌어찌 넘어간다.,긍정
HAN,3.5,생각보다 나쁘지 않았다. 메인 빌런 연기가 좀 별로/ 알바생도 반전이었으면 더 나았을 것같은데,긍정
박주현,3.5,"칭찬인지 욕인지 싶겠지만 러닝타임 90분인 것이 최대장점인 영화!

클리셰 범벅인데 오히려 좋아~
클리셰대로 가니까 등장인물 난잡하고 러닝타입 짧은데 뇌피셜로 개연성 자동완성시킴.

그리고 3분마다 쾅쾅 터지고 부수고 줘터지고 해서 스킵 없으면 집중력 3분컷인 나한테는 좋았음.

솔직히 베드신 왜넣었는지 모르겠는데 걍 뇌비우고 보기 좋은 킬링타임용 영화. 우리 호정이 분량 무슨일?

그래서 차라리 그냥 완전 비급 감성으로 갔으면 더 재밌었겠다 싶음. 차라리 킹스맨처럼 머리가 터지든가.

그래도 억지 교훈 감동 없어서 좋았음. 아니면 있었는데 내가 못 느꼈을지도??",긍정
기록지향적생각아카이브,3.5,무능함으로 뒷북쳐서 무너뜨리는 황정민이 쌓은 공든 탑,긍정
조신익,3,짧고 간결하고 효율적으로,긍정
수란잔,4,"재작년 <엑시트>, 올해 <인질>.  밀도 높은 장르의 외피 속에 약간의 시의적 시선까지. '외유내강'의 저력은 계속된다.",긍정
제이크,4,"이 정도면 이 소재로 챙길 거 다 챙겼다
재미있게 봤다",긍정
사자다무섭지,3,현실적 구조의 영화의 비현실적 캐릭터,긍정
네원,2.5,"뭐야 이거 황정민 위인전이에요??? 배우도 찍으면서 좀 민망했을 거 같은데, 몇 없는 조연들의 연기가 괜찮았고 그외에는 우연의 연속 진 빠진다.",중립
칠보,1.5,신선한 배우 마스크를 본 게 이영화의 유일한 미덕,부정
장지요니,3.5,"아는 얼굴이라곤 메시뿐이지만
모두가 저돌적으로 골대를 향해 달려가는
아르헨티나 국대팀의 경기를 보는 기분

캐스팅으로 형식을 갖춘다

인간수업 백주희 / 어른들은 몰라요 이유미",긍정
CGV SVIP,0.5,싱크홀보다 짜증도 안나고 재밌게 보았다,부정
제트별,3,진짜로 드루와버렸을 때 대응하는 저력,긍정
페리,3,"‘배우’라는 것 빼고는 너무나 현실감 있어서 간만에 심장이 쪼그라든 느낌.
처음부터 끝까지 단 한순간도 놓칠 수 없게, 집중하게 만드는건 소재인가 연기력인가

그리고 이유미의 재발견 좋아지기 시작했다",긍정
걸어라,3,장르극에 현실감을 더하는 장치가 확정된 결과로 귀결되는 요소로 작용한다.,긍정
Jay Ha,3.5,"컴팩트하게 하드보일드하다
그 이상, 그 이하의 미사여구가 필요없는 <인질>
(한국 영화를 감안하더라도 너무나도 심각했던 무능경찰 클리쉐만 어떻게 했더라면...)",긍정
윤이사야,1.5,캐릭터의 비대칭,부정
카프리콘,2.5,"호기로운 설정. 신예들의 열연. 박진감 넘치는 몇장면.
어느새 장점들은 온데간데없고 빌런 캐릭터와 드라마엔 구멍이 슝슝.",중립
서영,2.5,스포일러가 포함되어 내용을 생략했습니다.,중립
피요히코,2,황정민이라서 그나마 봄,부정
정윤혁,3.5,"범인 5인방이 영화 다했네..
황정민은 평타..늘상 그런연기...
나름 잼있게 봤지만...경찰들 캐스팅은 최악이다.
싼맛에 쓴건가? 너무 심했어 정말~",긍정
Sean,3,황정민 외에 과감하게 얼굴을 많이 보이진 않은 연기자들을 등용하여 리얼함을 상당히 살렸다 최근의 다른 영화들에 비해 다소 짧은 러닝타임에서 보이듯 설정이나 스토리가 얕진 않을까 우려했는데 후반부의 급박한 진행을 통해 긴장감을 주면서 이런 생각을 조금 날려주었다 다큐나 재현물이 아님에도 황정민이 황정민 역을 맡는 영화라 그런 부분에서 신선했다,긍정
김민혜,3,황정민이 황정민을 연기하며 철저히 관객을 속인다.,긍정
영화를 봅시다,3,"장르에 충실해.
황정민이 아니라 다른 배우였어도 큰 차이는 없었을 듯.",긍정
걍미소,2.5,상영시간이 짧음에도 불구하고 후반부는 늘어지는 느낌,중립
아암,3.5,황정민 혼자 다 해먹는거 같지만 조연들도 장난없다.,긍정
단백석,2.5,"사르르 녹아내리는 참신함
⠀
『인질』은 제26회 청룡영화상의 남우주연상 수상소감으로 시작합니다. 상을 안겨준 『너는 내 운명』보다도 오래도록 회자되는, 황정민의 상징과도 같은 멘트지요. 그런 그가 의문의 패거리에게 납치당하네요. 다음 날엔 『신세계』에서 호흡을 맞췄던 박성웅과 함께한 신작, 『냉혈한』의 인터뷰가 예정된 상황. 대중의 이목이 집중되는 시기에 대스타가 홀연히 자취를 감추다니, 흥미가 생기지 않을 수 없는 소재입니다.

그야말로 온갖 수단을 동원해 배우 황정민의 발자취를 강조합니다. 심지어 손발을 묶어놓고선 정청의 명대사를 재연해달라는 자칭 팬도 있어요. 하지만 기계적으로 필모그래피를 나열하는 정도에 그쳐 실존 인물을 다루는 의미가 얼마나 있었는지 의문부호가 붙네요. 서도철과 최철기라는 배역을 이용한 묘수는 꽤 그럴듯했지만, 당사자를 주인공으로 내세우는 참신함의 유통기한은 길지 않습니다.

인질과 납치범 사이에 놓인 존재감의 천칭이 좀처럼 평형을 이루지 못해요. 무도함으로 가득 채운 악역에겐 별다른 깊이가 없어서, 죽음을 불사하면서까지 우두머리에게 충정을 다하는 모습은 영 와닿지 않습니다. 수사 과정에서 나름의 본분을 다하던 경찰은 약속이라도 한 듯 뒤로 갈수록 무능해지고, 기어이 펼쳐진 둘만의 사생결단 액션씬은 어김없이 클라이맥스를 차지합니다. 남은 건 장르의 낡은 공식뿐이네요.

황정민을 연기하는 황정민, 반동이나 복종 등 집단의 속성을 하나씩 분절해 수행할 뿐인 패거리, 카운트다운 CG와 별반 다를 게 없는 경찰 모양의 장치… 그나마 소연으로 분한 이유미 배우만이 이 영화를 『황정민』이 아니게 이끌어요. ‘설마 황정민한테 무슨 일이 있겠어?’ 라는 안전구역에 자리 잡은 주인공을 대신해 특유의 흔들리는 눈빛과 수척한 이미지로 서스펜스를 책임집니다. 관객이 『인질』을 『인질』로 받아들이게끔 만드는 건 오롯이 그의 열연이겠지요.",중립
